,AMI,AMI_gt,ARI,ARI_gt,CorrelationScore,CorrelationScore_gt,InstabilityScore,InstabilityScore_gt,method
5.0,0.813850181826,0.855797974028,0.835480894211,0.968059149078,0.870714285714,0.915,0.132434029044,0.128895715291,gmm-sph
6.0,1.0,0.940012001156,1.0,0.989600878208,1.0,0.950595238095,0.0,0.059748235178,gmm-sph
7.0,0.810207966595,0.810207966466,0.781761120425,0.781761120425,0.875,0.875,0.15954485928,0.15954485928,gmm-sph
8.0,0.901559311198,0.81894683257,0.902439287588,0.791327983866,0.942857142857,0.985204081633,0.0416537321857,0.0999689572457,gmm-sph
9.0,0.739120882657,0.682878994427,0.533050416822,0.573372312499,0.830952380952,0.956632653061,0.265227882162,0.222390389167,gmm-sph
10.0,0.620542537578,0.602865538398,0.325621451345,0.42845722198,0.765,0.940306122449,0.469843478898,0.319835925232,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.516071428571,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.772619047619,0.0,0.315663716814,gmm-sph
4.0,1.0,0.6965489175,1.0,0.825884024154,1.0,0.852678571429,0.0,0.207121651987,gmm-sph
5.0,0.813850181826,0.780506839926,0.835480894211,0.847270859073,0.81,0.915,0.132434029044,0.127884768504,gmm-sph
6.0,1.0,0.940012001346,1.0,0.989600878208,1.0,0.982738095238,0.0,0.059748235178,gmm-sph
7.0,0.811134496771,1.0,0.783428807982,1.0,0.935714285714,1.0,0.158600806858,0.0,gmm-sph
8.0,0.967426345941,0.819516358697,0.974583470558,0.795281682956,0.994642857143,0.994387755102,0.0106448426697,0.0981176802596,gmm-sph
9.0,0.792116669142,0.72388628608,0.609667634354,0.668941730833,0.771428571429,0.977040816327,0.217833209061,0.161779893758,gmm-sph
10.0,0.670108349709,0.574732848429,0.351936336871,0.341844289432,0.749285714286,0.903571428571,0.445517929655,0.44281509085,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.328571428571,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.533333333333,0.0,0.315663716814,gmm-sph
4.0,0.763666846149,0.693660357369,0.700493859308,0.82462465881,0.675,0.639285714286,0.143102232282,0.207659630304,gmm-sph
5.0,0.810476944674,0.777615260189,0.834209621324,0.846010218556,0.650714285714,0.825,0.132939502437,0.128390241898,gmm-sph
6.0,1.0,0.940012001251,1.0,0.989600878208,1.0,0.95,0.0,0.059748235178,gmm-sph
7.0,0.870017180173,0.870017179886,0.881292734937,0.881292734937,0.872959183673,0.872959183673,0.109038054715,0.109038054715,gmm-sph
8.0,0.910250003887,0.87678582292,0.921555289407,0.89169163088,0.955357142857,0.997448979592,0.0351742627346,0.0499844786228,gmm-sph
9.0,0.698111472425,0.839393975642,0.519464900985,0.862008367685,0.755158730159,0.99693877551,0.315356863326,0.0624333674504,gmm-sph
10.0,0.62965880074,0.641554138612,0.352480385649,0.504003599507,0.797142857143,0.939795918367,0.389659261023,0.280194289429,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.296428571429,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.570238095238,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548917081,1.0,0.825884024154,1.0,0.729464285714,0.0,0.207121651987,gmm-sph
